date,high,low,open,close,volume,quoteVolume,weightedAverage
1596225600,11342.23260814,11314.34124547,11314.34124547,11338.36673606,89054.38994212,7.86098999,11328.64817986
1596225900,11347.61993663,11340.0,11343.83387758,11340.0,57882.97985142,5.10269227,11343.61564222
1596226200,11348.95466775,11340.0,11340.44892413,11344.4,64201.99635115,5.65900503,11345.10324885
1596226500,11345.89872369,11331.37310001,11344.39999999,11335.52843246,46105.13277921,4.06456664,11343.18535351
1596226800,11375.94463814,11333.32789931,11333.32789931,11370.37081355,77409.82838003,6.81429039,11359.92509119
1596227100,11400.0,11364.56869348,11370.94962713,11393.0,153970.07478074,13.52116893,11387.33459938
1596227400,11410.00000001,11379.04664515,11400.0,11379.04664515,123981.61362231,10.87610331,11399.45163157
1596227700,11378.61690526,11357.39810118,11378.26518349,11359.12390251,33262.99807656,2.92640378,11366.51008445
1596228000,11375.24222863,11355.12838358,11358.69248469,11370.39539999,55724.49486838,4.90482241,11361.16462744
1596228300,11367.3207186,11316.52454789,11365.29379948,11321.0,42487.86100034,3.74614165,11341.76573391
1596228600,11337.52034396,11330.47979082,11333.67868662,11331.02703743,685.00737872,0.0604411,11333.46975356
1596228900,11338.49852701,11329.11524897,11331.26983406,11331.01302888,1696.52688933,0.14965362,11336.35717824
1596229200,11358.21029999,11303.12453711,11329.20609999,11355.70403629,13098.38068546,1.15653478,11325.53980388
1596229500,11378.52559299,11360.07756987,11361.10000003,11369.84934826,35627.16974862,3.13402538,11367.86255018
1596229800,11399.0,11370.04934856,11370.04934856,11391.99999983,48570.43969578,4.26888802,11377.77319719
1596230100,11383.15519575,11357.05667217,11378.73211908,11362.2701756,52287.45122297,4.59974425,11367.46922896
1596230400,11385.45231589,11364.5355968,11364.5355968,11373.20189185,71253.3196708,6.25918992,11383.79256445
1596230700,11391.01272129,11372.86508331,11372.86508331,11379.42268001,54605.49258123,4.79575391,11386.21655864
1596231000,11387.77742247,11378.03288143,11379.42268,11387.77742247,38111.58199426,3.3492178,11379.24860971
1596231300,11399.55893009,11380.78074393,11387.77742246,11394.90005524,75394.08634637,6.61559181,11396.4235569
1596231600,11420.63197409,11398.55690885,11398.55690885,11406.60095102,49281.40104448,4.31931133,11409.55056937
